date,surface_pressure,temperature_2m,total_evaporation_sum,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1
04-06-2010,90998.23682,298.5123247,-0.004085134,0.010383143,2.438696543,-0.780184825,0.436368306
05-06-2010,90878.382,297.6539987,-0.003999917,0.001984427,3.340196609,-1.436386307,0.435646057
06-06-2010,90787.45703,297.8626436,-0.004346552,0.00045264,4.358352025,-0.671607931,0.426755905
07-06-2010,90802.19043,296.6292502,-0.003025565,0.011394564,3.913072586,-0.657466928,0.433600744
08-06-2010,90702.29069,296.8812478,-0.00340297,0.004289925,3.36185201,-0.668215513,0.449792862
09-06-2010,90574.75212,296.9316139,-0.002729164,0.002075234,2.63848877,-0.242983301,0.462886175
10-06-2010,90496.83529,296.416317,-0.003399611,0.009511948,2.790341059,0.426087181,0.473544439
11-06-2010,90428.54574,295.3678239,-0.002113323,0.002470645,4.427946091,1.587321122,0.4812603
12-06-2010,90390.08691,295.8034255,-0.002959294,0.011995513,4.574557622,1.537495216,0.483748754
13-06-2010,90546.5887,295.5781256,-0.002699251,0.00451847,5.045269648,2.458412369,0.493298213
14-06-2010,90756.18148,294.7542044,-0.002088932,0.008321792,4.329826991,2.293203354,0.495424271
15-06-2010,90805.92155,295.5516758,-0.002101755,0.001032144,4.763897578,1.483880997,0.482044856
16-06-2010,90824.49723,296.4390386,-0.00304354,0.002653629,3.67022268,1.476058642,0.474571228
17-06-2010,90801.70785,296.1908334,-0.002884412,0.004944581,3.7283717,1.29417483,0.480540593
18-06-2010,90745.37565,296.3937689,-0.003296819,0.004023436,3.669697444,1.408888499,0.479337056
19-06-2010,90735.81283,296.266819,-0.003187417,0.003418803,3.26791509,1.631064097,0.476833979
20-06-2010,90825.21143,296.6011518,-0.002663274,3.76E-05,2.910758972,0.987592697,0.460756302
21-06-2010,90778.87972,297.3762633,-0.003960621,0.001562995,2.988374869,0.513617833,0.442307154
22-06-2010,90705.8514,296.7480838,-0.003372589,0.000971216,3.668369293,0.269977172,0.439182281
23-06-2010,90662.63167,296.4202754,-0.003101088,0.002874583,4.307499568,-0.119330168,0.441432953
24-06-2010,90568.56429,295.5787868,-0.002564685,0.002123535,4.855529785,0.001583378,0.440600713
25-06-2010,90481.29053,295.5788962,-0.002547128,0.001776001,5.45819219,-0.486076355,0.446761449
26-06-2010,90527.93522,295.8478737,-0.002641799,0.003634143,4.561195374,0.446088592,0.449076335
27-06-2010,90607.57161,296.6653519,-0.002649813,0.001472127,3.811386108,0.596825361,0.447772344
28-06-2010,90633.71029,296.9866778,-0.003195517,0.001178449,3.577744166,0.674972415,0.434577306
29-06-2010,90611.5179,296.64973,-0.003096972,0.003735512,3.361511072,0.353129387,0.439072291
30-06-2010,90568.1888,296.2876504,-0.003155619,0.005044508,4.294460495,0.688135068,0.459878286
01-07-2010,90506.74902,295.1538366,-0.002367148,0.051654575,4.04716301,0.701356888,0.483964284
02-07-2010,90530.52165,294.0080249,-0.001956519,0.013764912,4.395172119,1.112426678,0.468938192
03-07-2010,90555.53743,294.5515035,-0.002417199,0.021651942,3.942475637,1.336265246,0.483784358
04-07-2010,90597.45964,295.5703913,-0.002754139,0.003668875,3.763834,1.070651809,0.48263677
05-07-2010,90715.45459,295.2769521,-0.0024452,0.008783094,3.936969916,0.5111715,0.479818344
06-07-2010,90767.48372,295.0559158,-0.002719516,0.006415087,3.587579727,-0.06333224,0.481363297
07-07-2010,90852.74805,295.0231692,-0.00237397,0.005879253,2.989217758,0.045875589,0.485673269
08-07-2010,90954.35465,295.4805012,-0.002315477,0.004866913,2.12853241,-0.129820307,0.481697083
09-07-2010,90869.86523,295.9406827,-0.003390168,0.007653192,1.787976583,-0.722879251,0.489831289
10-07-2010,90872.53662,296.6175874,-0.004032064,0.00798034,1.485610962,-0.005106131,0.486943563
11-07-2010,90878.98258,296.8713086,-0.003628919,0.000412732,2.237442652,0.408111691,0.447659175
12-07-2010,90850.771,296.0279738,-0.003143931,0.006896222,2.837104797,0.126525919,0.462041219
13-07-2010,90839.20459,295.8311227,-0.003341652,0.003962519,3.248195012,0.103874842,0.480901718
14-07-2010,90755.42611,296.2965705,-0.004022595,0.00013274,3.551828384,-0.641929626,0.467840195
15-07-2010,90571.07454,295.9977042,-0.003131417,0.001466554,3.434528351,-0.304115931,0.458192825
16-07-2010,90453.35059,295.2827752,-0.002809561,0.009808838,3.696512858,0.310630163,0.474323273
17-07-2010,90551.5013,295.023173,-0.002787061,0.004906121,3.891857783,0.892245213,0.491727193
18-07-2010,90632.3571,295.3373693,-0.002962224,0.008802026,4.583592733,0.372852882,0.490980784
19-07-2010,90554.87874,295.1096884,-0.002803916,0.013800528,5.243984222,0.082108855,0.475797017
20-07-2010,90580.56445,294.2234446,-0.002415614,0.018386352,4.91349411,1.078961531,0.473555247
21-07-2010,90641.21289,294.3079185,-0.002252033,0.011741112,4.38086764,0.317824046,0.47960345
22-07-2010,90725.53369,294.2468402,-0.002496092,0.005176795,4.426550547,0.014882366,0.501145045
23-07-2010,90721.29281,295.1670602,-0.00250022,0.000410712,4.667526245,-0.147878329,0.483220418
24-07-2010,90611.84961,294.9954224,-0.00226676,0.000631028,5.596180598,0.653410554,0.473695755
25-07-2010,90552.22005,294.3728911,-0.002579624,0.007102167,5.815334956,0.34662497,0.481479009
26-07-2010,90640.51237,295.1642284,-0.003085973,0.002035302,5.846802394,0.694400271,0.483950933
27-07-2010,90707.07617,295.8219287,-0.002893997,0.000992748,5.421586355,0.142423987,0.475880941
28-07-2010,90634.78727,294.6848996,-0.002630176,0.013854956,5.120354335,-0.732696533,0.478577932
29-07-2010,90585.14697,294.138279,-0.00255632,0.008814754,4.901767731,-0.306482315,0.502450943
30-07-2010,90675.87793,294.0655073,-0.002474722,0.009292769,4.880753199,0.524993896,0.470700582
31-07-2010,90829.03695,295.1882877,-0.002567884,0.000100949,5.360990524,0.469239116,0.453456879
01-08-2010,90869.20247,295.2297916,-0.002669926,0.000315875,4.936847051,-0.372725805,0.448587418
02-08-2010,90768.43392,295.5614961,-0.002928985,0.000331858,4.763646444,0.10395058,0.442221959
03-08-2010,90648.14193,294.8389874,-0.002783442,0.006933308,4.924128215,1.023317973,0.464205424
04-08-2010,90600.15853,295.0597178,-0.003175689,0.006884765,4.730011622,0.38363115,0.494148254
05-08-2010,90726.85872,295.6196836,-0.00280249,0.000995886,4.030736923,0.079894622,0.47478358
06-08-2010,90767.87142,295.279808,-0.003040152,0.001237067,3.908203125,0.200761835,0.466133118
07-08-2010,90751.98242,295.1955973,-0.003020652,0.004064912,3.396116257,0.718435367,0.474150976
08-08-2010,90722.66748,295.8264141,-0.003241733,0.001869524,3.650847753,0.424916625,0.473220825
09-08-2010,90742.75309,296.0244929,-0.003240809,0.000943303,3.749421438,-0.889765024,0.462859472
10-08-2010,90729.97917,296.1190141,-0.003648745,9.59E-05,3.494435628,-1.331117431,0.447425842
11-08-2010,90693.07601,296.1594512,-0.003527431,0.001038492,3.704504649,-1.310421427,0.438454946
12-08-2010,90576.74528,296.0391916,-0.003260173,0.006608093,2.849957148,-0.96396637,0.459428787
13-08-2010,90614.05859,295.6602071,-0.003044548,0.003522277,3.041068395,-0.869015574,0.475952784
14-08-2010,90643.55225,295.7802016,-0.003161986,0.005111524,3.024211248,-0.420465112,0.48035876
15-08-2010,90667.53467,295.7711728,-0.002782639,0.003936407,2.387859344,0.310497244,0.483084997
16-08-2010,90690.29476,295.4178441,-0.002842687,0.009192821,3.095612208,0.386903127,0.473879496
17-08-2010,90629.76481,295.5190417,-0.003200736,0.001477602,4.560573578,0.262488047,0.469817479
18-08-2010,90685.74805,295.3106785,-0.002604169,0.000880805,4.379620234,-1.188189189,0.467182159
19-08-2010,90728.91406,296.1397591,-0.003321952,0.000577825,2.945863088,-1.691961288,0.459704717
20-08-2010,90768.87467,295.5406011,-0.002682165,0.009751836,1.586123784,-1.542894363,0.466052373
21-08-2010,90678.01921,294.8086007,-0.002236539,0.015610029,1.917761485,-0.476133347,0.473024368
22-08-2010,90622.41309,294.8661556,-0.002789726,0.009702778,3.045212428,-1.719150861,0.475895564
23-08-2010,90547.83382,295.167469,-0.002594514,0.005795717,2.938531876,-2.441362341,0.481018066
24-08-2010,90442.78011,294.4665674,-0.002079686,0.016308129,3.524578094,-1.512178818,0.474315643
25-08-2010,90477.62988,293.5481968,-0.001712598,0.026681393,3.800955455,-0.78218925,0.483606974
26-08-2010,90551.88525,294.6272132,-0.002563925,0.004907026,3.806507746,0.519713044,0.499105453
27-08-2010,90592.17594,295.5651677,-0.003108274,0.00202933,3.978680293,1.689532916,0.487150828
28-08-2010,90627.8973,296.0054607,-0.00337263,0.002655312,3.905922572,1.491095384,0.48367246
29-08-2010,90668.75179,295.3435237,-0.002617354,0.004554519,3.949093501,0.798229059,0.487887065
30-08-2010,90667.80615,294.4775969,-0.002672556,0.013063401,4.160516103,0.686089834,0.489743551
31-08-2010,90766.16764,294.0245196,-0.002275337,0.004018813,4.171389262,0.290378173,0.501665751
01-09-2010,90882.88558,295.2146263,-0.003384463,0.000169396,4.209491094,-0.214033246,0.479113261
02-09-2010,90885.80924,295.1840611,-0.002991688,0.000754982,4.060628891,-1.146211624,0.469738007
03-09-2010,90735.66895,295.0584927,-0.002375759,0.000862584,3.892810186,-0.694537401,0.463712692
04-09-2010,90720.75716,295.0469004,-0.002735188,0.001003155,3.844652176,0.294562658,0.460943222
05-09-2010,90883.57585,294.6707808,-0.002596913,0.003622496,3.736694972,0.448050181,0.471298854
06-09-2010,90812.95589,295.0633132,-0.002734467,0.001396656,4.344715118,0.501438777,0.46866862
07-09-2010,90672.35856,295.4612395,-0.002954066,0.001325274,4.583744208,0.46976161,0.461282094
08-09-2010,90701.48975,295.0790151,-0.002984054,0.005755323,4.376101812,1.002406438,0.474904378
09-09-2010,90766.57943,295.4207039,-0.003271896,0.000843668,3.699927648,1.299634496,0.469218572
10-09-2010,90762.73258,295.1599477,-0.003211603,0.004747725,3.132007996,0.659160137,0.473464966
11-09-2010,90804.21126,294.9463323,-0.002484577,0.003189266,2.906768878,-0.606377403,0.480552038
12-09-2010,90805.10449,295.4541194,-0.003127013,0.000352764,2.533505122,-1.026144703,0.468371073
13-09-2010,90703.73242,294.9499868,-0.002713389,0.002486038,3.08697319,-0.553784688,0.4643809
14-09-2010,90648.32389,294.7086926,-0.002239266,0.001113907,3.429196676,0.168667475,0.465749741
15-09-2010,90646.48438,294.9386247,-0.002888927,0.00202373,3.613306681,0.286632856,0.46166865
16-09-2010,90655.38965,295.1886419,-0.003039889,0.004600115,3.529984156,0.014098446,0.474906921
17-09-2010,90602.82894,294.9796073,-0.003003638,0.005109179,3.535612106,-0.409921964,0.482618332
18-09-2010,90546.03402,294.5471363,-0.002581163,6.68E-05,3.601652781,-0.006445845,0.469757716
19-09-2010,90624.5293,295.075655,-0.003462178,2.96E-05,2.554133097,0.280534903,0.453083674
20-09-2010,90749.27653,295.8840351,-0.003790367,0.000766762,0.406671524,0.409308394,0.441481908
21-09-2010,90859.45182,295.4355685,-0.003194008,0.023416698,-0.036850611,0.750507196,0.451643626
22-09-2010,90890.39795,295.8181362,-0.003478829,0.004489854,0.234841665,-0.302563548,0.442771912
23-09-2010,90801.21484,296.3810488,-0.003782142,0.011894748,-0.656503042,0.308326443,0.476214091
24-09-2010,90802.27751,295.6938833,-0.003254114,0.008027055,1.306989034,0.265146255,0.464049657
25-09-2010,90849.78678,295.716437,-0.003242691,0.000984551,0.409075419,-0.49745516,0.451265335
26-09-2010,90857.48763,295.9304066,-0.003508779,0.004962206,-1.435908635,-0.207529863,0.467088699
27-09-2010,90859.67497,295.6142178,-0.003242235,0.008936071,-2.355855306,0.823294282,0.477033615
28-09-2010,90912.82666,295.8767573,-0.003731807,0.000548792,-2.263675054,1.590603272,0.462754567
29-09-2010,90896.91504,295.55019,-0.003607062,0.007434654,-1.556681315,0.911105553,0.462333043
30-09-2010,90769.74398,296.2617982,-0.004143362,0.001678982,-0.867144903,-0.029377898,0.463193893
01-10-2010,90676.61263,295.5305627,-0.003214853,0.004096332,-1.167072296,-0.119807164,0.479072571
02-10-2010,90707.92806,295.2996667,-0.003327823,0.014151296,-0.962865829,0.780216416,0.479232788
03-10-2010,90733.21354,295.4784724,-0.003131771,0.002755771,-1.432055155,1.162742098,0.464057922
04-10-2010,90658.92806,295.8326327,-0.003758823,0.003294832,0.222711563,0.063736121,0.476382573
05-10-2010,90570.67497,296.0606022,-0.003558261,0.005880231,1.180226008,-0.265849312,0.487573624
06-10-2010,90553.89909,295.4039586,-0.003003383,0.005647659,2.839379628,-0.440331976,0.491282781
07-10-2010,90523.4126,295.7492428,-0.003198529,0.002170292,2.381389618,-0.249079148,0.482039769
08-10-2010,90630.79362,296.2310251,-0.003877769,0.001010956,1.829407374,-0.455785751,0.473638535
09-10-2010,90652.28857,296.035848,-0.003385312,0.000590622,2.164824804,-0.258477529,0.462722143
10-10-2010,90734.76742,295.4646384,-0.002741586,0.000900123,1.832748413,-0.484344482,0.456123352
11-10-2010,90914.39046,295.6383622,-0.004436417,5.99E-05,2.485809326,-0.713776271,0.444354375
12-10-2010,91036.69173,295.6164487,-0.003602634,0.000105101,2.119401296,-0.600911975,0.431017558
13-10-2010,90952.94873,295.2526067,-0.003452861,0.00263658,1.804416656,-0.356828014,0.434021632
14-10-2010,90844.34294,295.1506564,-0.003819847,0.00946877,2.458892186,-0.21319437,0.466545741
15-10-2010,90760.47461,294.6564376,-0.002947288,0.001572484,3.553451538,-0.286155264,0.477356593
16-10-2010,90639.54915,294.5994778,-0.003535409,0.001114865,3.852261225,-0.185661872,0.46084404
17-10-2010,90678.4943,294.3420849,-0.002533359,1.25E-05,3.163408279,0.981718063,0.448166529
18-10-2010,90782.30664,294.7621078,-0.003266481,0.000267945,2.458075205,0.87499555,0.435890834
19-10-2010,90882.76481,295.5281569,-0.003477776,0.000493215,1.885482152,0.38911438,0.426202138
20-10-2010,90893.24398,295.3835564,-0.002902953,0.008055627,1.293405533,-0.003924688,0.456713359
21-10-2010,90716.04443,295.5113182,-0.00305184,0.005923021,2.023305893,0.44224449,0.472254435
22-10-2010,90643.67106,295.2077154,-0.003005357,0.001241096,3.105185827,0.965860526,0.461420695
23-10-2010,90739.10286,294.3782266,-0.002317434,0.008237649,2.918926676,0.848211408,0.461210887
24-10-2010,90793.82031,295.1518389,-0.002898918,0.000807464,2.615299225,-0.388001124,0.458917618
25-10-2010,90860.20768,295.4763838,-0.003511375,0.001110756,1.382829666,-0.906958262,0.456650416
26-10-2010,90969.44889,295.504645,-0.003354222,0.004339853,-0.099188089,-0.512864431,0.465108871
27-10-2010,91046.32943,295.2131742,-0.002986791,0.002445126,-0.623871485,-0.96295166,0.476630529
28-10-2010,90996.45801,295.3355217,-0.003475755,0.000708535,-1.943579356,-1.580217361,0.462423325
29-10-2010,90943.62988,294.5184307,-0.002349211,0.001157129,-1.599733353,-2.355414708,0.455507278
30-10-2010,90933.15788,293.928318,-0.002026252,0.005895624,-0.585849126,-2.073395411,0.472491582
31-10-2010,90835.35677,293.4862041,-0.001624396,0.00161292,0.215117772,-1.932661414,0.479061762
01-11-2010,90685.4305,293.6334858,-0.001741176,0.021253097,0.265560786,-1.079181314,0.47597758
02-11-2010,90803.49202,293.7009722,-0.001989213,0.010229874,0.618599574,-0.535180608,0.48698616
03-11-2010,91022.7251,294.9767062,-0.002834097,0.00345622,-0.959801992,0.717029174,0.486424764
04-11-2010,91078.74121,294.7051684,-0.003235504,0.005193222,-1.575656891,-0.134231647,0.492972056
05-11-2010,91008.9541,294.6110198,-0.002863117,0.003500551,-0.988237381,-0.974917094,0.494543711
06-11-2010,90804.11947,294.6207097,-0.003279194,0.000210938,-0.375810623,-2.023897171,0.479366302
07-11-2010,90546.16227,292.0278155,-0.001827264,0.025096954,2.416465123,-1.795171102,0.484987259
08-11-2010,90735.16699,293.1868445,-0.001568606,0.00225717,-0.114103317,1.960243861,0.493717194
09-11-2010,91151.62598,295.0423203,-0.003024255,0.003164873,-2.20435524,1.425667723,0.488903681
10-11-2010,91232.98958,294.3155092,-0.002620809,0.008429945,-1.221403758,0.83250018,0.469547908
11-11-2010,91087.08887,294.3898449,-0.002543917,0.023707926,0.158688863,0.27475361,0.463836034
12-11-2010,90855.39128,294.9239527,-0.002635613,0.000942379,-0.492092768,-0.6678255,0.4323349
13-11-2010,90879.17139,295.070013,-0.002855863,0.001391032,-1.400829951,0.497056524,0.437016169
14-11-2010,91120.56006,294.9899743,-0.003337849,0.000667983,-1.908679962,0.296676,0.433270772
15-11-2010,91114.01579,294.2334805,-0.003123369,0.005774239,-1.652563731,-0.457308173,0.454701106
16-11-2010,90890.42057,293.8089224,-0.002748019,0.007272117,-1.994754155,-2.569157044,0.48296229
17-11-2010,90890.82178,293.2953466,-0.001643671,0.009260371,-2.807069143,0.442470551,0.479285558
18-11-2010,91066.22412,294.319205,-0.00281763,0.002690414,-2.835568746,0.865587155,0.483415604
19-11-2010,91016.13558,294.3934409,-0.002885072,0.000809917,-2.456664125,0.525139173,0.475802104
20-11-2010,90865.72428,294.82676,-0.004021304,0.000970411,-1.835882187,0.089070678,0.462088903
21-11-2010,90806.89551,294.1704521,-0.002710143,0.001864787,-1.507669449,1.085664868,0.464329402
22-11-2010,90776.67432,294.7540843,-0.003262397,0.000144735,-1.949065526,1.28134644,0.45598348
23-11-2010,90877.56966,294.5634511,-0.00284164,0.001137972,-1.788737257,0.73441414,0.448791504
24-11-2010,90983.01758,294.2006741,-0.002671058,0.000170839,-2.37956659,-0.536195358,0.441744486
25-11-2010,91002.51351,294.1742172,-0.003008005,0.002053511,-2.362567504,-0.611969709,0.433596293
26-11-2010,90912.21387,293.6500022,-0.002221201,0.001889417,-1.752804041,-1.194876671,0.460156123
27-11-2010,90893.98958,292.7934914,-0.001611018,0.003250718,-2.026505152,-0.888499816,0.464981715
28-11-2010,90962.75911,293.4055246,-0.002696051,0.000222045,-3.241312663,-0.409508665,0.453433355
29-11-2010,90992.14486,293.3397668,-0.003666575,2.34E-05,-3.15589265,-0.49803249,0.436552048
30-11-2010,90882.44873,293.9475555,-0.002979412,7.45E-06,-3.25555861,-1.037963351,0.423069
01-12-2010,90893.10303,293.5828094,-0.001899352,0.000330085,-3.208498081,-1.423028946,0.417313894
02-12-2010,90910.90413,293.8270931,-0.002274664,0.001428476,-3.242042939,-1.018809597,0.419495265
03-12-2010,90907.2876,293.5300598,-0.002865182,6.79E-07,-2.925151189,-1.205579122,0.413567225
04-12-2010,90755.12972,292.8085613,-0.003276928,0.000176597,-2.315361102,-2.276287079,0.402161916
05-12-2010,90598.43652,292.599425,-0.002458346,0.00010378,-1.375108719,-3.113542557,0.395482381
